Nama,Setoran_Awal,Jangka_Waktu,Bunga,Hasil_Bunga,Hasil_Bunga_Bulan,Total_Hasil_Investasi
Bajragin Anggriawan,14000000,3,0.015,210000,630000,14630000
Amalia Wijayanti,17000000,3,0.025,425000,1275000,18275000
Bakiono Sihombing,14000000,6,0.035,490000,2940000,16940000
Eman Yudhistira,19000000,3,0.02,380000,1140000,20140000
Mursinin Sudrajat,16000000,6,0.025,400000,2400000,18400000
Karma Mansur,8000000,3,0.035,280000,840000,8840000
Raina Juwita,8000000,6,0.02,160000,960000,8960000
Martana Antoni,8000000,12,0.025,200000,2400000,10400000
Jagapati Rayhan,14000000,6,0.025,350000,2100000,16100000
Cecep Wijaya,18000000,12,0.015,270000,3240000,21240000
Novi Leilani,16000000,12,0.02,320000,3840000,19840000
Langgeng Abimanyu,19000000,6,0.025,475000,2850000,21850000
Kani Haryanti,7000000,3,0.02,140000,420000,7420000
Hartaka Lesmana,7000000,6,0.03,210000,1260000,8260000
Tsabita Usada,14000000,3,0.025,350000,1050000,15050000
Cakrabuana Hidayanto,15000000,3,0.03,450000,1350000,16350000
Galang Simbolon,14000000,3,0.025,350000,1050000,15050000
Febi Padmasari,5000000,3,0.035,175000,525000,5525000
Bakiman Darojat,19000000,6,0.015,285000,1710000,20710000
Mila Winarsih,8000000,6,0.015,120000,720000,8720000
Jinawi Hidayat,5000000,6,0.035,175000,1050000,6050000
Cecep Hutasoit,10000000,6,0.025,250000,1500000,11500000
Kambali Pangestu,16000000,6,0.025,400000,2400000,18400000
Amalia Kahyang,5000000,3,0.02,100000,300000,5300000
Restu Purwanti,7000000,6,0.02,140000,840000,7840000
Balapati Pranowo,11000000,3,0.025,275000,825000,11825000
Yoga Oktavian,15000000,6,0.015,225000,1350000,16350000
Raden Maulana,10000000,6,0.02,200000,1200000,11200000
Raisa Suartini,5000000,12,0.015,75000,900000,5900000
Victoria Salsabilla,16000000,3,0.015,240000,720000,16720000
Limar Tamba,10000000,6,0.025,250000,1500000,11500000
Galang Putra,14000000,6,0.03,420000,2520000,16520000
Laila Utami,16000000,12,0.025,400000,4800000,20800000
Nyoman Irfandi,15000000,12,0.02,300000,3600000,18600000
Kawaca Wijaya,8000000,6,0.035,280000,1680000,9680000
Ade Febrianti,8000000,12,0.03,240000,2880000,10880000
Karman Zulkarnain,10000000,3,0.025,250000,750000,10750000
Cinta Zahrah,19000000,6,0.015,285000,1710000,20710000
Malika Puspita,16000000,6,0.02,320000,1920000,17920000
Jumadi Habibi,8000000,3,0.015,120000,360000,8360000
Karta Supriyanto,17000000,12,0.035,595000,7140000,24140000
Taufik Rahardian,15000000,6,0.02,300000,1800000,16800000
Gamanto Wacana,20000000,6,0.03,600000,3600000,23600000
Tira Kusmawati,11000000,3,0.015,165000,495000,11495000
Cemani Irawan,20000000,6,0.015,300000,1800000,21800000
Darmana Hidayanto,20000000,6,0.02,400000,2400000,22400000
Dono Purnama,15000000,6,0.025,375000,2250000,17250000
Parman Herlambang,20000000,3,0.015,300000,900000,20900000
Usman Mansur,19000000,6,0.03,570000,3420000,22420000
Aditya Ardianto,17000000,12,0.025,425000,5100000,22100000
Sadina Mulyani,18000000,3,0.025,450000,1350000,19350000
Damar Mangunsong,16000000,6,0.025,400000,2400000,18400000
Yessi Maheswari,17000000,3,0.035,595000,1785000,18785000
Yahya Saragih,19000000,6,0.035,665000,3990000,22990000
Teddy Tampubolon,15000000,12,0.02,300000,3600000,18600000
Dartono Rayhan,18000000,12,0.02,360000,4320000,22320000
Sadina Astuti,14000000,12,0.025,350000,4200000,18200000
Nada Riyanti,15000000,6,0.025,375000,2250000,17250000
Galak Wardana,6000000,12,0.025,150000,1800000,7800000
Satya Haikal,17000000,3,0.015,255000,765000,17765000
Hendra Supriyanto,16000000,3,0.025,400000,1200000,17200000
Gading Marbun,16000000,3,0.02,320000,960000,16960000
Luwes Mahardika,14000000,6,0.025,350000,2100000,16100000
Balapati Napitupulu,17000000,6,0.025,425000,2550000,19550000
Raden Himawan,17000000,3,0.02,340000,1020000,18020000
Nasrullah Saputra,6000000,3,0.025,150000,450000,6450000
Ilsa Azzahra,8000000,6,0.015,120000,720000,8720000
Umay Suwarno,10000000,3,0.02,200000,600000,10600000
Teguh Himawan,18000000,12,0.025,450000,5400000,23400000
Silvia Astuti,18000000,6,0.025,450000,2700000,20700000
Kamal Gunawan,20000000,6,0.015,300000,1800000,21800000
Yahya Gunawan,19000000,6,0.025,475000,2850000,21850000
Lidya Hartati,11000000,12,0.035,385000,4620000,15620000
Gatra Satria,11000000,6,0.035,385000,2310000,13310000
Yulia Nathania,14000000,6,0.02,280000,1680000,15680000
Xanana Najmudin,20000000,6,0.015,300000,1800000,21800000
Luis Thamrin,20000000,3,0.025,500000,1500000,21500000
Makuta Wahyudin,18000000,3,0.025,450000,1350000,19350000
Banawi Natsir,16000000,12,0.025,400000,4800000,20800000
Gada Wijaya,17000000,12,0.035,595000,7140000,24140000
Najam Marbun,8000000,6,0.02,160000,960000,8960000
Radit Mangunsong,8000000,6,0.025,200000,1200000,9200000
Dyah Hariyah,12000000,6,0.025,300000,1800000,13800000
Ihsan Airlangga,17000000,3,0.025,425000,1275000,18275000
Mala Yuniar,15000000,6,0.035,525000,3150000,18150000
Makuta Haryanto,16000000,6,0.025,400000,2400000,18400000
Edi Sihombing,11000000,6,0.025,275000,1650000,12650000
Yoga Prayoga,11000000,6,0.025,275000,1650000,12650000
Bakijan Hakim,15000000,3,0.025,375000,1125000,16125000
Iriana Aurelia,16000000,6,0.03,480000,2880000,18880000
Endah Azzahra,5000000,6,0.025,125000,750000,5750000
Oman Agustian,14000000,3,0.035,490000,1470000,15470000
Cahya Rajasa,5000000,6,0.035,175000,1050000,6050000
Irsad Hakim,8000000,12,0.03,240000,2880000,10880000
Ani Usada,10000000,6,0.015,150000,900000,10900000
Nugraha Waskita,15000000,6,0.035,525000,3150000,18150000
Kenzie Tarihoran,18000000,6,0.015,270000,1620000,19620000
Gasti Agustina,14000000,3,0.025,350000,1050000,15050000
Vinsen Prayoga,5000000,6,0.025,125000,750000,5750000
Aurora Sudiati,20000000,12,0.015,300000,3600000,23600000
Bakiman Rendra,20000000,3,0.035,700000,2100000,22100000
Prasetya Budiyanto,12000000,3,0.025,300000,900000,12900000
Mustika Suryono,11000000,6,0.015,165000,990000,11990000
Septi Wulandari,20000000,12,0.035,700000,8400000,28400000
Eman Saputra,19000000,3,0.025,475000,1425000,20425000
Lantar Bagaskara,15000000,6,0.015,225000,1350000,16350000
Harjo Prayoga,15000000,6,0.025,375000,2250000,17250000
Slamet Hakim,16000000,6,0.02,320000,1920000,17920000
Nabila Wastuti,18000000,6,0.025,450000,2700000,20700000
Jaka Rendra,11000000,6,0.035,385000,2310000,13310000
Karman Wahyudin,9000000,3,0.025,225000,675000,9675000
Darmanto Prakasa,19000000,6,0.035,665000,3990000,22990000
Arta Situmorang,16000000,3,0.035,560000,1680000,17680000
Galak Dirgantara,18000000,3,0.035,630000,1890000,19890000
Queen Ananda,15000000,3,0.035,525000,1575000,16575000
Drajat Sihombing,20000000,6,0.035,700000,4200000,24200000
Dadi Winarno,12000000,3,0.035,420000,1260000,13260000
Laksita Fernanda,9000000,6,0.035,315000,1890000,10890000
Balijan Prakasa,7000000,6,0.035,245000,1470000,8470000
Setya Purnawarman,11000000,12,0.025,275000,3300000,14300000
Bahuwirya Ramadan,14000000,6,0.015,210000,1260000,15260000
Kariman Napitupulu,18000000,3,0.035,630000,1890000,19890000
Yosef Prabowo,16000000,3,0.02,320000,960000,16960000
Michelle Winarsih,7000000,6,0.02,140000,840000,7840000
Jagapati Supriyanto,5000000,6,0.03,150000,900000,5900000
Gangsa Pradana,15000000,6,0.02,300000,1800000,16800000
Uli Yulianti,10000000,6,0.035,350000,2100000,12100000
Langgeng Oktovian,15000000,6,0.035,525000,3150000,18150000
Ophelia Ardiyanti,10000000,6,0.02,200000,1200000,11200000
Artanto Putra,5000000,6,0.03,150000,900000,5900000
Raden Suryono,18000000,6,0.035,630000,3780000,21780000
Prayogo Prasetya,12000000,6,0.025,300000,1800000,13800000
Widya Laksmiwati,16000000,6,0.025,400000,2400000,18400000
Tiara Aqila,11000000,12,0.035,385000,4620000,15620000
Lega Wijaya,15000000,6,0.03,450000,2700000,17700000
Dwi Hermawan,8000000,3,0.02,160000,480000,8480000
Novi Wastuti,12000000,6,0.025,300000,1800000,13800000
Bella Prastuti,15000000,3,0.03,450000,1350000,16350000
Kamal Mustofa,18000000,3,0.015,270000,810000,18810000
Asman Purwadi,15000000,3,0.02,300000,900000,15900000
Gibran Tampubolon,14000000,3,0.035,490000,1470000,15470000
Vanya Zulaika,7000000,6,0.02,140000,840000,7840000
Gandewa Airlangga,17000000,6,0.02,340000,2040000,19040000
Nasim Firmansyah,18000000,6,0.02,360000,2160000,20160000
Vanesa Handayani,14000000,6,0.015,210000,1260000,15260000
Lanjar Himawan,14000000,6,0.02,280000,1680000,15680000
Umaya Pratama,15000000,12,0.03,450000,5400000,20400000
Nova Wastuti,19000000,6,0.025,475000,2850000,21850000
Aris Saptono,17000000,3,0.025,425000,1275000,18275000
Jumari Sinaga,20000000,6,0.025,500000,3000000,23000000
Rosalina Mayasari,12000000,6,0.025,300000,1800000,13800000
Jarwadi Aswandi,20000000,6,0.025,500000,3000000,23000000
Elon Sitompul,15000000,12,0.02,300000,3600000,18600000
Ihsan Rajata,8000000,3,0.025,200000,600000,8600000
Jagapati Airlangga,8000000,3,0.035,280000,840000,8840000
Uli Juwita,18000000,3,0.02,360000,1080000,19080000
Bagus Yanuar,14000000,6,0.015,210000,1260000,15260000
Wulan Hassanah,15000000,6,0.015,225000,1350000,16350000
Lala Aurelia,16000000,3,0.025,400000,1200000,17200000
Makara Pranowo,6000000,6,0.025,150000,900000,6900000
Lukman Najmudin,11000000,3,0.03,330000,990000,11990000
Arta Wacana,16000000,12,0.025,400000,4800000,20800000
Legawa Wicaksono,20000000,6,0.015,300000,1800000,21800000
Raditya Haryanto,11000000,6,0.03,330000,1980000,12980000
Rini Zahrah,9000000,6,0.025,225000,1350000,10350000
Rahmat Darojat,19000000,6,0.025,475000,2850000,21850000
Yuliana Namaga,7000000,6,0.015,105000,630000,7630000
Putri Riyanti,18000000,6,0.035,630000,3780000,21780000
Hesti Damayanti,17000000,12,0.025,425000,5100000,22100000
Vega Abimanyu,9000000,6,0.025,225000,1350000,10350000
Nrima Wijaya,7000000,3,0.035,245000,735000,7735000
Salsabila Oktaviani,9000000,12,0.025,225000,2700000,11700000
Hani Mardhiyah,18000000,3,0.025,450000,1350000,19350000
Tomi Jailani,7000000,12,0.025,175000,2100000,9100000
Luhung Hidayanto,6000000,6,0.025,150000,900000,6900000
Hasna Melinda,19000000,6,0.03,570000,3420000,22420000
Kasiyah Yuliarti,5000000,12,0.015,75000,900000,5900000
Hilda Salma,12000000,6,0.015,180000,1080000,13080000
Damu Natsir,17000000,6,0.02,340000,2040000,19040000
Lala Anggraini,19000000,12,0.02,380000,4560000,23560000
Puput Anandya,9000000,6,0.035,315000,1890000,10890000
Restu Nasyidah,5000000,3,0.035,175000,525000,5525000
Luthfi Rahardian,5000000,6,0.025,125000,750000,5750000
Ibun Purnama,16000000,12,0.03,480000,5760000,21760000
Adikara Prayoga,7000000,3,0.035,245000,735000,7735000
Warsita Darmawan,18000000,12,0.025,450000,5400000,23400000
Safira Aurelia,14000000,3,0.035,490000,1470000,15470000
Gadang Prayoga,19000000,12,0.035,665000,7980000,26980000
Hendri Oktavian,17000000,6,0.035,595000,3570000,20570000
Mustofa Lazuardi,15000000,6,0.035,525000,3150000,18150000
Vero Waluyo,10000000,12,0.025,250000,3000000,13000000
Gangsa Nainggolan,20000000,12,0.035,700000,8400000,28400000
Pardi Perdana,11000000,6,0.035,385000,2310000,13310000
Yunita Yuliarti,16000000,3,0.025,400000,1200000,17200000
Luhung Adriansyah,16000000,6,0.035,560000,3360000,19360000
Eman Suryono,14000000,6,0.02,280000,1680000,15680000
Septi Uyainah,17000000,3,0.03,510000,1530000,18530000
Ella Zulaika,11000000,12,0.025,275000,3300000,14300000
Harjo Mansur,15000000,12,0.02,300000,3600000,18600000
Panca Pradipta,10000000,3,0.03,300000,900000,10900000
Hilda Puspasari,7000000,12,0.025,175000,2100000,9100000
Jindra Lazuardi,12000000,12,0.02,240000,2880000,14880000
Paramita Zahrah,12000000,6,0.03,360000,2160000,14160000
Ibun Pradipta,7000000,3,0.025,175000,525000,7525000
Dewi Anjani,7000000,12,0.025,175000,2100000,9100000
Nrima Zulkarnain,16000000,6,0.02,320000,1920000,17920000
Faizah Nasyidah,7000000,12,0.03,210000,2520000,9520000
Natalia Febrianti,8000000,3,0.02,160000,480000,8480000
Najam Darojat,6000000,6,0.025,150000,900000,6900000
Empluk Wibowo,20000000,6,0.03,600000,3600000,23600000
Mulyono Winarno,11000000,6,0.015,165000,990000,11990000
Puspa Prastuti,7000000,6,0.025,175000,1050000,8050000
Balangga Herlambang,11000000,3,0.03,330000,990000,11990000
Tasdik Budiyanto,16000000,6,0.03,480000,2880000,18880000
Purwanto Salahudin,10000000,3,0.035,350000,1050000,11050000
Sidiq Prabowo,14000000,12,0.02,280000,3360000,17360000
Intan Leilani,19000000,6,0.025,475000,2850000,21850000
Balamantri Mandala,7000000,12,0.025,175000,2100000,9100000
Asmadi Jailani,8000000,6,0.035,280000,1680000,9680000
Karsana Narpati,12000000,12,0.025,300000,3600000,15600000
Harja Sabian,7000000,6,0.015,105000,630000,7630000
Darijan Gunawan,14000000,3,0.02,280000,840000,14840000
Zelaya Nurlaela,19000000,12,0.025,475000,5700000,24700000
Imam Dirgantara,8000000,3,0.035,280000,840000,8840000
Raden Ardana,14000000,12,0.025,350000,4200000,18200000
Rangga Jailani,17000000,12,0.035,595000,7140000,24140000
Ganep Oktovian,8000000,3,0.035,280000,840000,8840000
Ifa Laksita,20000000,6,0.025,500000,3000000,23000000
Vivi Hastuti,17000000,12,0.025,425000,5100000,22100000
Nilam Hassanah,18000000,6,0.02,360000,2160000,20160000
Rosa Puspita,18000000,6,0.025,450000,2700000,20700000
Agus Utama,7000000,3,0.035,245000,735000,7735000
Adikara Budiman,7000000,6,0.015,105000,630000,7630000
Hendra Firgantoro,12000000,12,0.035,420000,5040000,17040000
Caket Adhitama,6000000,3,0.025,150000,450000,6450000
Gaman Utama,8000000,3,0.025,200000,600000,8600000
Indra Arifin,8000000,6,0.025,200000,1200000,9200000
Saka Iswahyudi,8000000,12,0.015,120000,1440000,9440000
Adiarja Wicaksono,6000000,6,0.035,210000,1260000,7260000
Jais Pradana,8000000,6,0.025,200000,1200000,9200000
Jessica Zulaika,8000000,6,0.035,280000,1680000,9680000
Oni Pertiwi,9000000,3,0.025,225000,675000,9675000
Lanang Marpaung,11000000,3,0.025,275000,825000,11825000
Ganesha Yolanda,18000000,6,0.025,450000,2700000,20700000
Panji Setiawan,5000000,12,0.025,125000,1500000,6500000
Gading Narpati,7000000,12,0.035,245000,2940000,9940000
Cakrawangsa Nashiruddin,11000000,6,0.025,275000,1650000,12650000
Himawan Natsir,14000000,6,0.03,420000,2520000,16520000
Lili Padmasari,20000000,6,0.025,500000,3000000,23000000
Vanya Mulyani,15000000,3,0.025,375000,1125000,16125000
Kenari Hidayanto,8000000,6,0.02,160000,960000,8960000
Devi Maheswari,10000000,6,0.025,250000,1500000,11500000
Tasdik Yanuar,18000000,6,0.035,630000,3780000,21780000
Zelaya Yuniar,5000000,6,0.02,100000,600000,5600000
Laras Agustina,8000000,6,0.025,200000,1200000,9200000
Gamanto Herlambang,9000000,6,0.025,225000,1350000,10350000
Kairav Kusumo,11000000,3,0.015,165000,495000,11495000
Ibrani Wardana,17000000,6,0.035,595000,3570000,20570000
Febrina Rahayu,10000000,12,0.015,150000,1800000,11800000
Hafshah Kusmawati,12000000,3,0.025,300000,900000,12900000
Jasmin Novitasari,20000000,3,0.015,300000,900000,20900000
Bakiman Gunawan,14000000,3,0.02,280000,840000,14840000
Pranata Santoso,10000000,3,0.025,250000,750000,10750000
Endra Saputra,20000000,12,0.025,500000,6000000,26000000
Shania Mardhiyah,5000000,12,0.015,75000,900000,5900000
Citra Afifah,7000000,6,0.02,140000,840000,7840000
Leo Simanjuntak,20000000,3,0.025,500000,1500000,21500000
Gilang Nainggolan,19000000,6,0.025,475000,2850000,21850000
Kirana Azizah,14000000,12,0.02,280000,3360000,17360000
Anggun Azizah,18000000,3,0.02,360000,1080000,19080000
Emil Pratama,7000000,3,0.035,245000,735000,7735000
Balidin Rendra,14000000,12,0.03,420000,5040000,19040000
Balamantri Yudhistira,9000000,6,0.035,315000,1890000,10890000
Asmadi Darojat,15000000,6,0.035,525000,3150000,18150000
Tantri Namaga,14000000,12,0.025,350000,4200000,18200000
Rahmat Nanda,7000000,6,0.025,175000,1050000,8050000
Karman Adhitama,15000000,12,0.02,300000,3600000,18600000
Rina Usada,17000000,6,0.025,425000,2550000,19550000
Tari Mardhiyah,14000000,6,0.02,280000,1680000,15680000
Nadine Usada,10000000,6,0.025,250000,1500000,11500000
Gamblang Lesmana,7000000,12,0.02,140000,1680000,8680000
Yance Jelita,19000000,3,0.035,665000,1995000,20995000
Retno Laksita,5000000,6,0.02,100000,600000,5600000
Naura Novitasari,18000000,12,0.015,270000,3240000,21240000
Tami Puspita,18000000,6,0.035,630000,3780000,21780000
Puti Pertiwi,8000000,6,0.025,200000,1200000,9200000
Elvina Salma,19000000,3,0.02,380000,1140000,20140000
Bagiya Alamsyah,5000000,3,0.03,150000,450000,5450000
Sari Ananda,16000000,6,0.02,320000,1920000,17920000
Kamila Kusuma,10000000,3,0.015,150000,450000,10450000
Olivia Purnama,17000000,3,0.025,425000,1275000,18275000
Sidiq Prayoga,16000000,3,0.02,320000,960000,16960000
Lestari Nasyiah,11000000,3,0.02,220000,660000,11660000
Jindra Latupono,9000000,6,0.035,315000,1890000,10890000
Zaenab Mulyani,15000000,6,0.025,375000,2250000,17250000
Elon Perdana,9000000,6,0.03,270000,1620000,10620000
Cawuk Irfandi,7000000,6,0.035,245000,1470000,8470000
Vinsen Rayhan,14000000,12,0.025,350000,4200000,18200000
Warji Wibisono,9000000,12,0.015,135000,1620000,10620000
Imam Budiyanto,9000000,6,0.015,135000,810000,9810000
Zahra Yuniar,19000000,3,0.025,475000,1425000,20425000
Jelita Wahyuni,17000000,6,0.035,595000,3570000,20570000
Soleh Hidayanto,20000000,3,0.03,600000,1800000,21800000
Puti Hasanah,15000000,3,0.025,375000,1125000,16125000
Winda Usamah,20000000,12,0.035,700000,8400000,28400000
Dewi Yolanda,19000000,6,0.025,475000,2850000,21850000
Luis Irfandi,20000000,12,0.015,300000,3600000,23600000
Gasti Nasyiah,15000000,6,0.025,375000,2250000,17250000
Yani Puspita,9000000,12,0.02,180000,2160000,11160000
Anastasia Laksmiwati,14000000,12,0.025,350000,4200000,18200000
Puti Safitri,18000000,3,0.02,360000,1080000,19080000
Karen Agustina,18000000,12,0.015,270000,3240000,21240000
Gamblang Budiyanto,19000000,3,0.035,665000,1995000,20995000
Hartaka Agustian,15000000,6,0.02,300000,1800000,16800000
Liman Darmawan,12000000,6,0.025,300000,1800000,13800000
Harja Siregar,19000000,3,0.02,380000,1140000,20140000
Wulandari Anjani,11000000,3,0.015,165000,495000,11495000
Prabawa Widodo,7000000,12,0.025,175000,2100000,9100000
Limar Agustian,10000000,6,0.025,250000,1500000,11500000
Wirda Rahimah,11000000,3,0.035,385000,1155000,12155000
Limar Suwarno,9000000,3,0.025,225000,675000,9675000
Michelle Maharani,15000000,6,0.015,225000,1350000,16350000
Rosman Sihotang,16000000,6,0.025,400000,2400000,18400000
Indra Prasetyo,16000000,6,0.02,320000,1920000,17920000
Jindra Mansur,12000000,6,0.025,300000,1800000,13800000
Indah Wahyuni,5000000,6,0.025,125000,750000,5750000
Rafid Rayhan,20000000,12,0.025,500000,6000000,26000000
Vino Habibi,18000000,6,0.025,450000,2700000,20700000
Indah Ramadhani,9000000,6,0.035,315000,1890000,10890000
Ratna Kusmawati,8000000,6,0.025,200000,1200000,9200000
Bakiadi Abimanyu,12000000,12,0.025,300000,3600000,15600000
Hendra Salahudin,7000000,3,0.025,175000,525000,7525000
Langgeng Rendra,10000000,3,0.02,200000,600000,10600000
Gadis Azizah,10000000,6,0.025,250000,1500000,11500000
Kanda Damanik,19000000,3,0.025,475000,1425000,20425000
Banawi Arifin,11000000,3,0.025,275000,825000,11825000
Umaya Prakasa,20000000,6,0.02,400000,2400000,22400000
Gabriella Puspita,18000000,3,0.025,450000,1350000,19350000
Timbul Agustian,17000000,3,0.035,595000,1785000,18785000
Baktiadi Waluyo,19000000,6,0.035,665000,3990000,22990000
Siti Nurlaela,18000000,12,0.02,360000,4320000,22320000
Candrakanta Siregar,11000000,12,0.015,165000,1980000,12980000
Usyi Saraswati,17000000,6,0.02,340000,2040000,19040000
Nasab Wasita,16000000,6,0.03,480000,2880000,18880000
Sintia Maharani,12000000,6,0.02,240000,1440000,13440000
Narji Firmansyah,18000000,6,0.035,630000,3780000,21780000
Harimurti Saefullah,20000000,12,0.025,500000,6000000,26000000
Jaya Sihombing,7000000,6,0.02,140000,840000,7840000
Jagapati Agustian,15000000,3,0.025,375000,1125000,16125000
Cahyono Setiawan,12000000,3,0.025,300000,900000,12900000
Oman Mahendra,15000000,3,0.035,525000,1575000,16575000
Cakrawangsa Kurniawan,9000000,3,0.015,135000,405000,9405000
Emong Tarihoran,6000000,6,0.02,120000,720000,6720000
Bagiya Rajata,11000000,12,0.025,275000,3300000,14300000
Edi Wardana,17000000,6,0.03,510000,3060000,20060000
Dartono Sudrajat,11000000,3,0.02,220000,660000,11660000
Teguh Irawan,11000000,6,0.03,330000,1980000,12980000
Faizah Wulandari,11000000,6,0.025,275000,1650000,12650000
Maryanto Nashiruddin,15000000,12,0.035,525000,6300000,21300000
Zulaikha Nasyiah,8000000,6,0.025,200000,1200000,9200000
Hafshah Leilani,17000000,3,0.035,595000,1785000,18785000
Dagel Pangestu,20000000,6,0.025,500000,3000000,23000000
Bajragin Darmawan,10000000,3,0.015,150000,450000,10450000
Kartika Yolanda,14000000,12,0.02,280000,3360000,17360000
Umaya Iswahyudi,7000000,3,0.02,140000,420000,7420000
Koko Sitorus,20000000,3,0.025,500000,1500000,21500000
Yuni Kusmawati,20000000,6,0.035,700000,4200000,24200000
Uchita Kusuma,7000000,6,0.02,140000,840000,7840000
Lili Leilani,11000000,12,0.025,275000,3300000,14300000
Utama Purwadi,14000000,3,0.035,490000,1470000,15470000
Samsul Darojat,14000000,6,0.025,350000,2100000,16100000
Melani Fathina,12000000,6,0.03,360000,2160000,14160000
Daryani Rajasa,17000000,3,0.035,595000,1785000,18785000
Ivan Kurniawan,18000000,3,0.025,450000,1350000,19350000
Tantri Anjani,10000000,12,0.025,250000,3000000,13000000
Bakiono Jailani,5000000,3,0.025,125000,375000,5375000
Surya Saputra,20000000,3,0.025,500000,1500000,21500000
Elvina Handayani,6000000,12,0.015,90000,1080000,7080000
Yani Susanti,19000000,3,0.035,665000,1995000,20995000
Calista Saraswati,16000000,6,0.02,320000,1920000,17920000
Luwes Tamba,9000000,6,0.035,315000,1890000,10890000
Purwanto Saragih,14000000,6,0.015,210000,1260000,15260000
Joko Pradipta,20000000,12,0.025,500000,6000000,26000000
Jane Maheswari,18000000,12,0.035,630000,7560000,25560000
Nada Andriani,11000000,12,0.02,220000,2640000,13640000
Jaka Gunarto,11000000,3,0.035,385000,1155000,12155000
Novi Mardhiyah,10000000,3,0.03,300000,900000,10900000
Rahmi Ananda,8000000,12,0.025,200000,2400000,10400000
Padma Purnawati,5000000,6,0.035,175000,1050000,6050000
Ilyas Situmorang,16000000,3,0.025,400000,1200000,17200000
Darmana Prabowo,11000000,12,0.015,165000,1980000,12980000
Ian Sitompul,5000000,3,0.02,100000,300000,5300000
Pandu Pradana,8000000,12,0.025,200000,2400000,10400000
Lantar Waskita,7000000,12,0.02,140000,1680000,8680000
Nyana Sirait,18000000,6,0.02,360000,2160000,20160000
Wira Setiawan,11000000,12,0.025,275000,3300000,14300000
Mujur Suryono,5000000,3,0.035,175000,525000,5525000
Dalima Puspasari,10000000,3,0.015,150000,450000,10450000
Silvia Rachmawati,19000000,12,0.035,665000,7980000,26980000
Vanya Zahrah,15000000,3,0.015,225000,675000,15675000
Harsana Sirait,20000000,6,0.025,500000,3000000,23000000
Padma Mandasari,7000000,6,0.015,105000,630000,7630000
Karya Lazuardi,9000000,3,0.025,225000,675000,9675000
Nadia Kusmawati,8000000,12,0.015,120000,1440000,9440000
Amalia Permata,17000000,6,0.025,425000,2550000,19550000
Dwi Perdana,11000000,12,0.02,220000,2640000,13640000
Vicky Puspita,7000000,6,0.025,175000,1050000,8050000
Almira Febrianti,16000000,6,0.035,560000,3360000,19360000
Banara Napitupulu,20000000,3,0.035,700000,2100000,22100000
Jono Bagaskara,20000000,12,0.015,300000,3600000,23600000
Almira Maheswari,16000000,6,0.035,560000,3360000,19360000
Nilam Azzahra,18000000,6,0.025,450000,2700000,20700000
Janet Ramadhani,15000000,6,0.025,375000,2250000,17250000
Yance Kusmawati,9000000,6,0.015,135000,810000,9810000
Cakrawangsa Sinaga,7000000,12,0.035,245000,2940000,9940000
Yuliana Andini,14000000,3,0.025,350000,1050000,15050000
Gawati Haryanti,9000000,12,0.025,225000,2700000,11700000
Cinta Aryani,16000000,12,0.025,400000,4800000,20800000
Pardi Maulana,14000000,6,0.02,280000,1680000,15680000
Harjasa Habibi,8000000,3,0.025,200000,600000,8600000
Safira Aqila,8000000,3,0.025,200000,600000,8600000
Queen Mardhiyah,6000000,12,0.035,210000,2520000,8520000
Eja Ramadan,15000000,6,0.015,225000,1350000,16350000
Zizi Riyanti,11000000,6,0.03,330000,1980000,12980000
Eva Mayasari,19000000,3,0.015,285000,855000,19855000
Mulya Febian,20000000,6,0.02,400000,2400000,22400000
Farah Maharani,10000000,12,0.03,300000,3600000,13600000
Gambira Purnama,10000000,6,0.025,250000,1500000,11500000
Oskar Simanjuntak,8000000,3,0.025,200000,600000,8600000
Budi Santoso,11000000,12,0.025,275000,3300000,14300000
Ifa Prastuti,5000000,6,0.02,100000,600000,5600000
Padma Zahrah,12000000,6,0.035,420000,2520000,14520000
Kani Novitasari,10000000,12,0.025,250000,3000000,13000000
Cindy Anandya,16000000,12,0.025,400000,4800000,20800000
Kasiyah Anjani,12000000,12,0.035,420000,5040000,17040000
Lurhur Yulianto,12000000,12,0.025,300000,3600000,15600000
Lukita Prasetya,20000000,6,0.025,500000,3000000,23000000
Respati Supriyanto,7000000,12,0.015,105000,1260000,8260000
Garda Permadi,8000000,3,0.02,160000,480000,8480000
Asman Prasetya,10000000,3,0.025,250000,750000,10750000
Artawan Firgantoro,18000000,3,0.035,630000,1890000,19890000
Darmana Irawan,16000000,3,0.025,400000,1200000,17200000
Bella Aqila,16000000,12,0.035,560000,6720000,22720000
Rendy Suwarno,14000000,3,0.03,420000,1260000,15260000
Galih Hakim,18000000,3,0.025,450000,1350000,19350000
Daliman Mandala,9000000,12,0.03,270000,3240000,12240000
Balangga Setiawan,16000000,6,0.025,400000,2400000,18400000
Jasmin Laksmiwati,14000000,12,0.03,420000,5040000,19040000
Qori Kahyang,11000000,3,0.035,385000,1155000,12155000
Yoga Firmansyah,15000000,6,0.02,300000,1800000,16800000
Titin Pratiwi,15000000,3,0.02,300000,900000,15900000
Darimin Narpati,18000000,6,0.02,360000,2160000,20160000
Galang Ardana,17000000,3,0.03,510000,1530000,18530000
Warta Wicaksono,16000000,6,0.03,480000,2880000,18880000
Teguh Irfandi,10000000,6,0.03,300000,1800000,11800000
Adhiarja Narpati,5000000,6,0.025,125000,750000,5750000
